id,item,type,price
88,Lemon,fruit,56.36
89,Lemon,fruit,85.89
90,Papaya,fruit,85.71
91,Plum,fruit,82.43
92,Cherry,fruit,7.11
93,Lemon,fruit,68.04
94,Date,fruit,13.77
95,Dragonfruit,fruit,84.39
96,Dragonfruit,fruit,14.38
97,Papaya,fruit,96.9
98,Tangerine,fruit,58.66
99,Apple,fruit,40.78
100,Pineapple,fruit,51.95
101,Lemon,fruit,65.4
102,Mango,fruit,13.68
103,Kiwi,fruit,74.98
104,Mango,fruit,82.71
105,Banana,fruit,71.47
106,Plum,fruit,29.93
107,Fig,fruit,11.53
108,Tangerine,fruit,84.75
109,Dragonfruit,fruit,92.47
110,Cantaloupe,fruit,75.62
111,Blueberry,fruit,5.21
112,Fig,fruit,54.66
113,Tangerine,fruit,56.59
114,Lychee,fruit,43.39
115,Date,fruit,90.3
116,Tangerine,fruit,8.76
117,Tangerine,fruit,85.55
118,Tangerine,fruit,23.84
119,Plum,fruit,45.32
120,Plum,fruit,84.09
121,Grape,fruit,85.24
122,Pear,fruit,63.66
123,Pineapple,fruit,7.03
124,Banana,fruit,67.12
125,Plum,fruit,84.37
126,Pear,fruit,99.25
127,Orange,fruit,81.47
128,Cantaloupe,fruit,61.3
129,Apricot,fruit,9.71
130,Raspberry,fruit,15.0
131,Apricot,fruit,40.66
132,Raspberry,fruit,88.23
133,Peach,fruit,3.59
134,Apple,fruit,20.19
135,Pear,fruit,85.47
136,Blueberry,fruit,77.43
137,Cantaloupe,fruit,79.75
138,Lychee,fruit,19.89
139,Lemon,fruit,37.82
140,Fig,fruit,39.95
141,Papaya,fruit,67.27
142,Blackberry,fruit,53.73
143,Cherry,fruit,87.83
144,Lemon,fruit,15.13
145,Peach,fruit,74.21
146,Mango,fruit,57.92
147,Raspberry,fruit,93.47
148,Banana,fruit,42.18
149,Lychee,fruit,84.49
150,Peach,fruit,13.37
151,Raspberry,fruit,8.98
152,Blackberry,fruit,37.41
153,Pineapple,fruit,29.08
154,Blueberry,fruit,31.94
155,Fig,fruit,38.31
156,Peach,fruit,53.46
157,Strawberry,fruit,66.37
158,Raspberry,fruit,98.41
159,Banana,fruit,45.7
160,Peach,fruit,20.64
161,Banana,fruit,8.88
162,Orange,fruit,36.8
163,Apple,fruit,81.04
164,Pear,fruit,42.66
165,Apricot,fruit,2.1
166,Blueberry,fruit,89.51
167,Blueberry,fruit,96.92
168,Mushroom,vegetable,87.49
169,Brussels Sprout,vegetable,82.99
170,Green Bean,vegetable,38.56
171,Leek,vegetable,93.79
172,Leek,vegetable,54.66
173,Cabbage,vegetable,80.1
174,Zucchini,vegetable,20.31
175,Sweet Potato,vegetable,5.42
176,Cucumber,vegetable,99.18
177,Sweet Potato,vegetable,47.13
178,Onion,vegetable,68.69
179,Potato,vegetable,28.63
180,Cucumber,vegetable,69.18
181,Zucchini,vegetable,60.81
182,Cucumber,vegetable,0.06
183,Carrot,vegetable,74.69
184,Potato,vegetable,78.78
185,Arugula,vegetable,2.69
186,Turnip,vegetable,16.23
187,Carrot,vegetable,92.56
188,Pea,vegetable,81.94
189,Onion,vegetable,52.63
190,Cucumber,vegetable,49.71
191,Brussels Sprout,vegetable,32.01
192,Onion,vegetable,89.36
193,Carrot,vegetable,35.83
194,Zucchini,vegetable,41.76
195,Artichoke,vegetable,30.64
196,Eggplant,vegetable,23.36
197,Spinach,vegetable,89.32
198,Artichoke,vegetable,51.96
199,Potato,vegetable,94.09
200,Arugula,vegetable,83.59
201,Leek,vegetable,47.05
202,Broccoli,vegetable,57.05
203,Spinach,vegetable,64.35
204,Green Bean,vegetable,15.54
205,Potato,vegetable,63.58
206,Pea,vegetable,50.56
207,Arugula,vegetable,28.17
208,Radish,vegetable,34.73
209,Cucumber,vegetable,53.73
210,Cauliflower,vegetable,66.32
211,Onion,vegetable,2.07
212,Sweet Potato,vegetable,19.71
213,Radish,vegetable,12.39
214,Artichoke,vegetable,97.77
215,Kale,vegetable,52.41
216,Carrot,vegetable,79.53
217,Kale,vegetable,16.01
218,Kale,vegetable,38.19
219,Lettuce,vegetable,55.5
220,Arugula,vegetable,11.76
221,Green Bean,vegetable,20.26
222,Onion,vegetable,21.5
223,Kale,vegetable,68.82
224,Cabbage,vegetable,70.3
225,Zucchini,vegetable,40.07
226,Turnip,vegetable,25.05
227,Cauliflower,vegetable,37.26
228,Turnip,vegetable,53.39
229,Lettuce,vegetable,5.47
230,Asparagus,vegetable,9.52
231,Sweet Potato,vegetable,29.55
232,Broccoli,vegetable,9.34
233,Onion,vegetable,73.17
234,Broccoli,vegetable,66.13
235,Radish,vegetable,3.86
236,Jalapeño,vegetable,75.2
237,Zucchini,vegetable,53.43
238,Artichoke,vegetable,25.55
239,Bell Pepper,vegetable,54.39
240,Cucumber,vegetable,39.65
241,Zucchini,vegetable,51.79
242,Carrot,vegetable,61.14
243,Eggplant,vegetable,4.57
244,Arugula,vegetable,77.58
245,Tomato,vegetable,72.6
246,Cucumber,vegetable,26.88
247,Cucumber,vegetable,7.15
248,Celery,vegetable,66.57
249,Artichoke,vegetable,89.28
250,Lettuce,vegetable,79.95
251,Cauliflower,vegetable,10.93
252,Cucumber,vegetable,62.97
253,Bell Pepper,vegetable,91.51
254,Cucumber,vegetable,81.34
255,Pea,vegetable,67.06
256,Potato,vegetable,56.73
257,Broccoli,vegetable,47.23
258,Carrot,vegetable,94.84
259,Potato,vegetable,49.57
260,Carrot,vegetable,91.82
261,Mushroom,vegetable,68.6
262,Beet,vegetable,11.64
263,Sweet Potato,vegetable,27.4
264,Potato,vegetable,12.05
265,Lettuce,vegetable,73.25
266,Beet,vegetable,79.31
267,Spinach,vegetable,62.97
268,Artichoke,vegetable,92.62
269,Pea,vegetable,56.84
270,Cucumber,vegetable,88.08
271,Jalapeño,vegetable,4.26
272,Sweet Potato,vegetable,39.24
273,Turnip,vegetable,34.38
274,Tomato,vegetable,34.36
275,Onion,vegetable,76.74
276,Celery,vegetable,97.34
277,Jalapeño,vegetable,12.81
278,Turnip,vegetable,72.34
279,Pea,vegetable,45.01
280,Spinach,vegetable,43.47
281,Leek,vegetable,71.94
282,Pea,vegetable,19.69
283,Sweet Potato,vegetable,93.59
284,Asparagus,vegetable,17.22
285,Asparagus,vegetable,41.97
286,Bell Pepper,vegetable,38.58
287,Cabbage,vegetable,55.38
288,Tomato,vegetable,48.63
289,Broccoli,vegetable,23.59
290,Leek,vegetable,7.59
291,Garlic,vegetable,64.63
292,Lettuce,vegetable,91.4
293,Green Bean,vegetable,43.32
294,Brussels Sprout,vegetable,95.21
295,Garlic,vegetable,92.88
296,Broccoli,vegetable,33.14
297,Celery,vegetable,85.88
298,Carrot,vegetable,91.02
299,Beet,vegetable,36.19
300,Cucumber,vegetable,25.81
301,Kale,vegetable,48.6
302,Celery,vegetable,23.17
303,Green Bean,vegetable,29.23
304,Arugula,vegetable,60.55
305,Brussels Sprout,vegetable,52.13
306,Carrot,vegetable,7.52
307,Artichoke,vegetable,29.64
308,Onion,vegetable,50.99
309,Lettuce,vegetable,43.02
310,Tomato,vegetable,56.07
311,Lettuce,vegetable,62.83
312,Beet,vegetable,16.84
313,Mushroom,vegetable,19.5
314,Zucchini,vegetable,61.82
315,Asparagus,vegetable,11.46
316,Cucumber,vegetable,60.32
317,Eggplant,vegetable,70.45
318,Pea,vegetable,69.19
319,Garlic,vegetable,70.19
320,Kale,vegetable,15.3
321,Celery,vegetable,46.0
322,Jalapeño,vegetable,42.52
323,Arugula,vegetable,48.29
324,Arugula,vegetable,76.8
325,Cauliflower,vegetable,99.3
326,Bell Pepper,vegetable,27.87
327,Bell Pepper,vegetable,91.47
328,Zucchini,vegetable,90.28
329,Celery,vegetable,74.98
330,Carrot,vegetable,4.44
331,Cucumber,vegetable,72.11
332,Potato,vegetable,24.49
333,Asparagus,vegetable,78.06
334,Broccoli,vegetable,84.25
335,Parmesan,dairy,2.7
336,Heavy Cream,dairy,46.26
337,Goat,dairy,26.87
338,Cream Cheese,dairy,79.6
339,Eggs,dairy,31.08
340,Butter,dairy,13.88
341,Blue,dairy,49.51
342,Blue,dairy,76.24
343,Swiss,dairy,41.76
344,Blue,dairy,93.87
345,Butter,dairy,46.9
346,Whipped Cream,dairy,89.49
347,Ricotta,dairy,89.73
348,Blue,dairy,32.96
349,Cream Cheese,dairy,51.83
350,Ice Cream,dairy,29.74
351,Feta,dairy,30.74
352,Goat,dairy,9.68
353,Parmesan,dairy,53.29
354,Eggs,dairy,19.35
355,Parmesan,dairy,61.62
356,Parmesan,dairy,74.04
357,Greek Yogurt,dairy,64.14
358,Cream Cheese,dairy,27.63
359,Eggs,dairy,9.75
360,Butter,dairy,27.95
361,Blue,dairy,33.94
362,Ice Cream,dairy,88.93
363,Brie,dairy,32.37
364,Ricotta,dairy,45.41
365,Eggs,dairy,32.18
366,Blue,dairy,4.71
367,Heavy Cream,dairy,76.67
368,Cream Cheese,dairy,33.78
369,Swiss,dairy,67.01
370,Whipped Cream,dairy,32.73
371,Eggs,dairy,66.58
372,Heavy Cream,dairy,62.25
373,Blue,dairy,36.43
374,Swiss,dairy,4.22
375,Provolone,dairy,81.45
376,Yogurt,dairy,35.53
377,Provolone,dairy,6.68
378,Brie,dairy,28.1
379,Milk,dairy,64.67
380,Swiss,dairy,92.77
381,Cheddar,dairy,33.71
382,Milk,dairy,56.2
383,Greek Yogurt,dairy,94.34
384,Parmesan,dairy,63.97
385,Cheddar,dairy,45.43
386,Feta,dairy,51.1
387,Brie,dairy,31.12
388,Swiss,dairy,0.13
389,Eggs,dairy,7.07
390,Ice Cream,dairy,16.2
391,Blue,dairy,63.28
392,Whipped Cream,dairy,66.74
393,Provolone,dairy,95.01
394,Ricotta,dairy,53.18
395,Cheddar,dairy,58.96
396,Heavy Cream,dairy,2.04
397,Whipped Cream,dairy,37.22
398,Provolone,dairy,3.78
399,Whipped Cream,dairy,20.57
400,Heavy Cream,dairy,14.75
401,Parmesan,dairy,13.68
402,Swiss,dairy,83.41
403,Milk,dairy,79.48
404,Goat,dairy,44.34
405,Milk,dairy,90.85
406,Feta,dairy,1.15
407,Brie,dairy,54.62
408,Swiss,dairy,22.94
409,Milk,dairy,40.24
410,Sour Cream,dairy,33.94
411,Mozzarella,dairy,96.28
412,Ice Cream,dairy,89.45
413,Parmesan,dairy,84.25
414,Yogurt,dairy,24.45
415,Eggs,dairy,73.16
416,Swiss,dairy,31.41
417,Cheddar,dairy,35.17
418,Sour Cream,dairy,29.26
419,Cream Cheese,dairy,92.86
420,Greek Yogurt,dairy,13.78
421,Feta,dairy,31.5
422,Ricotta,dairy,19.23
423,Yogurt,dairy,73.38
424,Heavy Cream,dairy,51.03
425,Provolone,dairy,91.47
426,Ricotta,dairy,40.89
427,Yogurt,dairy,16.88
428,Ricotta,dairy,35.58
429,Goat,dairy,81.0
430,Heavy Cream,dairy,12.73
431,Greek Yogurt,dairy,36.58
432,Yogurt,dairy,3.6
433,Eggs,dairy,74.14
434,Yogurt,dairy,36.12
435,Greek Yogurt,dairy,55.91
436,Blue,dairy,33.34
437,Blue,dairy,55.29
438,Whipped Cream,dairy,64.69
439,Parmesan,dairy,20.01
440,Mozzarella,dairy,8.17
441,Brie,dairy,39.51
442,Swiss,dairy,42.07
443,Cheddar,dairy,17.79
444,Ricotta,dairy,9.14
445,Eggs,dairy,22.37
446,Mozzarella,dairy,59.22
447,Goat,dairy,61.5
448,Mozzarella,dairy,44.3
449,Brie,dairy,18.9
450,Milk,dairy,81.03
451,Ice Cream,dairy,73.59
452,Eggs,dairy,24.12
453,Feta,dairy,20.47
454,Whipped Cream,dairy,41.78
455,Whipped Cream,dairy,8.75
456,Feta,dairy,90.02
457,Greek Yogurt,dairy,44.66
458,Swiss,dairy,44.97
459,Ricotta,dairy,93.44
460,Milk,dairy,55.06
461,Butter,dairy,23.88
462,Butter,dairy,75.06
463,Swiss,dairy,54.86
464,Butter,dairy,84.59
465,Provolone,dairy,79.68
466,Butter,dairy,60.97
467,Blue,dairy,96.37
468,Yogurt,dairy,93.54
469,Ice Cream,dairy,49.55
470,Feta,dairy,79.42
471,Milk,dairy,38.61
472,Heavy Cream,dairy,55.26
473,Sour Cream,dairy,51.86
474,Goat,dairy,55.3
475,Butter,dairy,1.45
476,Heavy Cream,dairy,55.21
477,Blue,dairy,8.19
478,Goat,dairy,22.55
479,Cream Cheese,dairy,1.69
480,Ice Cream,dairy,10.95
481,Feta,dairy,97.69
482,Provolone,dairy,63.51
483,Mozzarella,dairy,46.37
484,Mozzarella,dairy,99.78
485,Parmesan,dairy,48.33
486,Feta,dairy,96.01
487,Heavy Cream,dairy,50.04
488,Mozzarella,dairy,98.82
489,Sour Cream,dairy,32.4
490,Brie,dairy,81.79
491,Butter,dairy,4.81
492,Greek Yogurt,dairy,71.57
493,Cream Cheese,dairy,98.28
494,Eggs,dairy,92.09
495,Goat,dairy,42.58
496,Greek Yogurt,dairy,20.2
497,Eggs,dairy,12.54
498,Swiss,dairy,83.45
499,Provolone,dairy,29.51
500,Cream Cheese,dairy,35.01
501,Milk,dairy,70.27
502,Venison,meat,0.8
503,Mutton,meat,42.35
504,Lamb,meat,48.27
505,Rabbit,meat,84.13
506,Bison,meat,35.19
507,Chicken,meat,91.16
508,Rabbit,meat,4.56
509,Ham,meat,88.6
510,Beef,meat,24.4
511,Bacon,meat,49.21
512,Beef,meat,23.12
513,Veal,meat,79.95
514,Ham,meat,72.1
515,Salami,meat,72.34
516,Bacon,meat,81.08
517,Veal,meat,8.02
518,Salami,meat,34.74
519,Rabbit,meat,21.04
520,Mutton,meat,28.89
521,Bacon,meat,6.03
522,Chicken,meat,89.92
523,Bison,meat,50.56
524,Chicken,meat,66.33
525,Lamb,meat,84.45
526,Beef,meat,59.01
527,Bison,meat,38.98
528,Mutton,meat,69.68
529,Bacon,meat,66.04
530,Goat,meat,45.68
531,Bison,meat,67.73
532,Mutton,meat,9.77
533,Lamb,meat,83.07
534,Ham,meat,40.38
535,Ham,meat,75.03
536,Sausage,meat,39.83
537,Bison,meat,75.25
538,Mutton,meat,56.47
539,Rabbit,meat,3.28
540,Salami,meat,68.49
541,Turkey,meat,20.73
542,Bacon,meat,21.08
543,Bacon,meat,4.77
544,Veal,meat,16.97
545,Turkey,meat,65.54
546,Beef,meat,90.99
547,Rabbit,meat,64.8
548,Lamb,meat,41.76
549,Beef,meat,88.45
550,Turkey,meat,7.15
551,Veal,meat,76.09
552,Duck,meat,79.35
553,Ham,meat,21.81
554,Venison,meat,8.54
555,Mutton,meat,43.8
556,Chicken,meat,51.42
557,Rabbit,meat,66.95
558,Venison,meat,95.44
559,Ham,meat,14.93
560,Goat,meat,7.23
561,Veal,meat,15.47
562,Turkey,meat,75.32
563,Beef,meat,53.6
564,Bison,meat,56.45
565,Lamb,meat,56.22
566,Ham,meat,66.06
567,Turkey,meat,36.65
568,Duck,meat,49.82
569,Lamb,meat,57.41
570,Chicken,meat,77.77
571,Salami,meat,76.11
572,Turkey,meat,57.41
573,Duck,meat,15.73
574,Veal,meat,10.42
575,Sausage,meat,49.38
576,Lamb,meat,48.57
577,Duck,meat,76.18
578,Goat,meat,64.29
579,Beef,meat,24.5
580,Beef,meat,37.15
581,Beef,meat,7.85
582,Venison,meat,42.12
583,Venison,meat,31.51
584,Ham,meat,10.88
585,Pork,meat,16.72
586,Lamb,meat,45.31
587,Turkey,meat,28.26
588,Salami,meat,47.31
589,Venison,meat,61.37
590,Rabbit,meat,63.21
591,Veal,meat,98.94
592,Goat,meat,7.47
593,Lamb,meat,32.87
594,Lamb,meat,80.59
595,Chicken,meat,2.56
596,Duck,meat,56.33
597,Ham,meat,14.79
598,Veal,meat,51.31
599,Lamb,meat,17.39
600,Chicken,meat,67.11
601,Goat,meat,30.33
602,Turkey,meat,67.43
603,Sausage,meat,29.08
604,Ham,meat,80.88
605,Lamb,meat,77.59
606,Bison,meat,70.01
607,Salami,meat,78.22
608,Goat,meat,64.05
609,Ham,meat,62.07
610,Bison,meat,88.62
611,Chicken,meat,79.0
612,Veal,meat,33.89
613,Turkey,meat,10.41
614,Sausage,meat,37.3
615,Turkey,meat,5.58
616,Salami,meat,43.29
617,Goat,meat,27.98
618,Lamb,meat,49.17
619,Goat,meat,31.3
620,Beef,meat,35.15
621,Rabbit,meat,93.2
622,Lamb,meat,7.69
623,Beef,meat,95.7
624,Sausage,meat,94.95
625,Mutton,meat,68.71
626,Lamb,meat,41.29
627,Rabbit,meat,9.18
628,Lamb,meat,20.7
629,Mutton,meat,50.5
630,Veal,meat,32.42
631,Veal,meat,29.0
632,Duck,meat,58.78
633,Salami,meat,42.4
634,Lamb,meat,80.37
635,Rabbit,meat,3.36
636,Sausage,meat,17.37
637,Beef,meat,14.07
638,Duck,meat,46.01
639,Beef,meat,2.06
640,Venison,meat,42.41
641,Duck,meat,65.19
642,Duck,meat,92.22
643,Bison,meat,72.44
644,Goat,meat,38.89
645,Bacon,meat,74.93
646,Salami,meat,67.98
647,Ham,meat,76.6
648,Sausage,meat,41.4
649,Bison,meat,94.89
650,Mutton,meat,28.31
651,Duck,meat,52.29
652,Goat,meat,86.44
653,Sausage,meat,96.19
654,Mutton,meat,17.81
655,Veal,meat,38.5
656,Venison,meat,60.65
657,Chicken,meat,65.86
658,Chicken,meat,79.75
659,Pork,meat,59.45
660,Venison,meat,13.08
661,Bison,meat,34.75
662,Bacon,meat,29.63
663,Mutton,meat,40.17
664,Mutton,meat,34.06
665,Rabbit,meat,41.41
666,Sausage,meat,33.68
667,Venison,meat,17.83
668,Duck,meat,18.25
669,Crab,seafood,20.62
670,Salmon,seafood,29.8
671,Clam,seafood,27.42
672,Oyster,seafood,82.77
673,Sardine,seafood,29.57
674,Swordfish,seafood,77.01
675,Haddock,seafood,59.38
676,Oyster,seafood,69.42
677,Bass,seafood,67.73
678,Salmon,seafood,76.51
679,Haddock,seafood,79.98
680,Snapper,seafood,4.06
681,Oyster,seafood,25.96
682,Anchovy,seafood,33.79
683,Mussel,seafood,94.3
684,Snapper,seafood,64.71
685,Oyster,seafood,67.2
686,Haddock,seafood,61.16
687,Grouper,seafood,5.13
688,Haddock,seafood,59.53
689,Octopus,seafood,55.96
690,Swordfish,seafood,87.71
691,Scallop,seafood,51.24
692,Octopus,seafood,28.62
693,Octopus,seafood,48.58
694,Grouper,seafood,59.71
695,Octopus,seafood,37.16
696,Swordfish,seafood,64.79
697,Grouper,seafood,43.38
698,Snapper,seafood,58.54
699,Salmon,seafood,51.37
700,Shrimp,seafood,22.77
701,Haddock,seafood,22.55
702,Haddock,seafood,63.56
703,Halibut,seafood,19.24
704,Prawn,seafood,30.78
705,Bass,seafood,37.27
706,Prawn,seafood,56.34
707,Prawn,seafood,24.83
708,Squid,seafood,25.73
709,Sardine,seafood,65.39
710,Sardine,seafood,20.83
711,Pollock,seafood,80.52
712,Crab,seafood,84.64
713,Trout,seafood,83.74
714,Halibut,seafood,60.79
715,Swordfish,seafood,28.88
716,Squid,seafood,68.42
717,Sardine,seafood,14.74
718,Grouper,seafood,77.43
719,Halibut,seafood,40.76
720,Pollock,seafood,72.9
721,Halibut,seafood,8.47
722,Tuna,seafood,14.02
723,Scallop,seafood,95.73
724,Oyster,seafood,49.07
725,Sardine,seafood,41.49
726,Octopus,seafood,0.19
727,Shrimp,seafood,13.12
728,Crab,seafood,12.08
729,Lobster,seafood,73.38
730,Haddock,seafood,22.49
731,Trout,seafood,48.63
732,Swordfish,seafood,23.8
733,Grouper,seafood,23.84
734,Cod,seafood,22.85
735,Octopus,seafood,30.86
736,Salmon,seafood,1.04
737,Squid,seafood,13.28
738,Clam,seafood,0.06
739,Halibut,seafood,30.71
740,Scallop,seafood,68.81
741,Trout,seafood,8.84
742,Trout,seafood,72.0
743,Anchovy,seafood,50.73
744,Clam,seafood,37.4
745,Clam,seafood,58.29
746,Oyster,seafood,46.21
747,Lobster,seafood,62.67
748,Anchovy,seafood,74.32
749,Snapper,seafood,82.6
750,Crab,seafood,16.67
751,Trout,seafood,55.15
752,Shrimp,seafood,21.18
753,Prawn,seafood,96.0
754,Clam,seafood,90.73
755,Oyster,seafood,89.53
756,Crab,seafood,41.24
757,Mussel,seafood,42.52
758,Crab,seafood,25.2
759,Bass,seafood,83.97
760,Cod,seafood,22.81
761,Crab,seafood,79.82
762,Tuna,seafood,70.4
763,Lobster,seafood,39.92
764,Swordfish,seafood,99.23
765,Swordfish,seafood,67.8
766,Prawn,seafood,18.02
767,Pollock,seafood,51.49
768,Squid,seafood,19.53
769,Clam,seafood,91.31
770,Halibut,seafood,30.32
771,Trout,seafood,55.83
772,Trout,seafood,83.67
773,Swordfish,seafood,22.62
774,Squid,seafood,85.35
775,Crab,seafood,71.54
776,Pollock,seafood,47.54
777,Bass,seafood,10.71
778,Swordfish,seafood,90.23
779,Shrimp,seafood,60.11
780,Salmon,seafood,51.13
781,Octopus,seafood,61.73
782,Anchovy,seafood,93.22
783,Pollock,seafood,71.04
784,Scallop,seafood,82.19
785,Prawn,seafood,54.47
786,Scallop,seafood,12.83
787,Sardine,seafood,77.75
788,Mussel,seafood,2.47
789,Oyster,seafood,57.06
790,Sardine,seafood,32.31
791,Oyster,seafood,72.56
792,Halibut,seafood,64.47
793,Swordfish,seafood,9.07
794,Lobster,seafood,45.28
795,Haddock,seafood,78.41
796,Bass,seafood,54.39
797,Squid,seafood,74.96
798,Salmon,seafood,30.99
799,Lobster,seafood,34.82
800,Trout,seafood,76.74
801,Mussel,seafood,98.26
802,Grouper,seafood,74.61
803,Octopus,seafood,55.26
804,Halibut,seafood,98.69
805,Mussel,seafood,56.04
806,Mussel,seafood,2.68
807,Scallop,seafood,86.63
808,Clam,seafood,83.49
809,Pollock,seafood,6.95
810,Trout,seafood,61.46
811,Sardine,seafood,77.71
812,Trout,seafood,28.91
813,Trout,seafood,10.02
814,Sardine,seafood,52.49
815,Oyster,seafood,14.61
816,Pollock,seafood,89.1
817,Scallop,seafood,82.25
818,Trout,seafood,21.99
819,Crab,seafood,44.07
820,Anchovy,seafood,84.29
821,Mussel,seafood,10.69
822,Scallop,seafood,89.18
823,Halibut,seafood,98.7
824,Bass,seafood,63.9
825,Halibut,seafood,96.79
826,Squid,seafood,45.75
827,Haddock,seafood,15.54
828,Grouper,seafood,29.89
829,Bass,seafood,44.0
830,Pollock,seafood,20.92
831,Tuna,seafood,4.58
832,Anchovy,seafood,22.15
833,Clam,seafood,13.03
834,Clam,seafood,21.43
835,Tuna,seafood,72.14
836,Rye,bread,45.59
837,Naan,bread,29.26
838,Whole Wheat,bread,98.82
839,Sourdough,bread,17.03
840,Kaiser Roll,bread,5.14
841,Ciabatta,bread,50.77
842,Baguette,bread,35.05
843,Sub Roll,bread,0.26
844,Ciabatta Roll,bread,39.09
845,English Muffin,bread,13.5
846,Naan,bread,62.88
847,Sourdough,bread,93.71
848,Sub Roll,bread,93.82
849,Whole Wheat,bread,41.93
850,Sub Roll,bread,27.41
851,Kaiser Roll,bread,24.91
852,Texas Toast,bread,48.51
853,Bagel,bread,43.46
854,Baguette,bread,38.82
855,Kaiser Roll,bread,25.98
856,Bagel,bread,81.9
857,Baguette,bread,45.71
858,Focaccia,bread,93.04
859,Whole Wheat,bread,63.82
860,Baguette,bread,92.01
861,Bagel,bread,41.58
862,Ciabatta Roll,bread,25.47
863,Bagel,bread,58.16
864,Bagel,bread,40.52
865,Hoagie Roll,bread,66.54
866,Ciabatta,bread,88.8
867,White,bread,85.98
868,Ciabatta,bread,81.55
869,Ciabatta Roll,bread,8.17
870,Bagel,bread,8.39
871,Focaccia,bread,63.81
872,Sub Roll,bread,97.45
873,Naan,bread,38.7
874,Pita,bread,6.54
875,Naan,bread,11.5
876,Flatbread,bread,67.33
877,Pita,bread,76.83
878,Focaccia,bread,93.88
879,Hoagie Roll,bread,69.58
880,Sourdough,bread,68.8
881,Brioche,bread,49.15
882,Ciabatta,bread,69.25
883,Flatbread,bread,57.55
884,Bagel,bread,71.99
885,Hoagie Roll,bread,79.9
886,Baguette,bread,11.16
887,Brioche,bread,50.74
888,Ciabatta,bread,63.08
889,Brioche,bread,59.13
890,Sub Roll,bread,27.71
891,Tortilla,bread,97.04
892,English Muffin,bread,60.31
893,Naan,bread,4.3
894,Multigrain,bread,72.21
895,Sub Roll,bread,10.79
896,Texas Toast,bread,59.6
897,Baguette,bread,70.02
898,Ciabatta,bread,15.75
899,Focaccia,bread,70.51
900,White,bread,24.95
901,Focaccia,bread,79.76
902,Flatbread,bread,99.09
903,English Muffin,bread,7.66
904,Sub Roll,bread,58.85
905,Baguette,bread,98.68
906,Brioche,bread,34.83
907,Rye,bread,65.12
908,Sourdough,bread,79.65
909,Flatbread,bread,66.14
910,Bagel,bread,65.79
911,Focaccia,bread,61.35
912,Rye,bread,18.22
913,Brioche,bread,56.98
914,Tortilla,bread,90.22
915,Flatbread,bread,21.8
916,Focaccia,bread,18.02
917,Whole Wheat,bread,46.31
918,Pita,bread,38.53
919,Multigrain,bread,39.55
920,English Muffin,bread,21.16
921,Tortilla,bread,30.79
922,Tortilla,bread,27.09
923,Multigrain,bread,14.1
