id,item,type,origin,price,organic_or_inorganic
138,Date,fruit,local,93.23,organic
139,Pear,fruit,imported,53.64,inorganic
140,Pineapple,fruit,imported,46.45,inorganic
141,Watermelon,fruit,local,81.18,inorganic
142,Orange,fruit,local,55.88,organic
143,Fig,fruit,imported,83.25,organic
144,Lemon,fruit,imported,77.61,organic
145,Plum,fruit,imported,91.9,organic
146,Raspberry,fruit,imported,50.63,organic
147,Blueberry,fruit,imported,47.86,organic
148,Pineapple,fruit,local,82.45,inorganic
149,Cherry,fruit,local,49.01,inorganic
150,Tangerine,fruit,local,75.28,organic
151,Orange,fruit,local,5.94,organic
152,Blueberry,fruit,imported,24.7,inorganic
153,Cherry,fruit,local,84.83,organic
154,Blueberry,fruit,local,34.57,inorganic
155,Apricot,fruit,imported,1.54,organic
156,Fig,fruit,imported,38.5,inorganic
157,Grape,fruit,imported,8.26,organic
158,Pomegranate,fruit,imported,12.13,organic
159,Watermelon,fruit,imported,7.55,inorganic
160,Dragonfruit,fruit,imported,79.4,inorganic
161,Cherry,fruit,imported,87.56,organic
162,Raspberry,fruit,local,3.51,inorganic
163,Pear,fruit,local,54.74,inorganic
164,Mango,fruit,local,99.69,inorganic
165,Raspberry,fruit,local,31.14,organic
166,Grape,fruit,imported,98.54,inorganic
167,Blackberry,fruit,imported,13.36,organic
168,Radish,vegetable,imported,75.49,organic
169,Bell Pepper,vegetable,imported,4.21,organic
170,Cauliflower,vegetable,imported,33.66,organic
171,Green Bean,vegetable,local,91.48,inorganic
172,Zucchini,vegetable,imported,85.92,inorganic
173,Beet,vegetable,local,83.54,inorganic
174,Broccoli,vegetable,imported,43.79,inorganic
175,Lettuce,vegetable,local,12.99,organic
176,Spinach,vegetable,imported,66.0,inorganic
177,Potato,vegetable,local,26.96,organic
178,Cauliflower,vegetable,imported,69.24,inorganic
179,Garlic,vegetable,local,90.75,inorganic
180,Eggplant,vegetable,imported,50.96,organic
181,Asparagus,vegetable,imported,8.85,inorganic
182,Potato,vegetable,imported,74.32,organic
183,Eggplant,vegetable,local,27.04,organic
184,Kale,vegetable,local,53.86,organic
185,Leek,vegetable,imported,86.17,organic
186,Artichoke,vegetable,imported,86.29,inorganic
187,Beet,vegetable,imported,82.71,organic
188,Cucumber,vegetable,imported,25.06,inorganic
189,Onion,vegetable,local,98.08,organic
190,Turnip,vegetable,imported,88.89,inorganic
191,Celery,vegetable,local,78.63,inorganic
192,Potato,vegetable,local,53.92,inorganic
193,Eggplant,vegetable,local,30.68,organic
194,Celery,vegetable,local,14.59,inorganic
195,Turnip,vegetable,local,97.72,organic
196,Jalapeño,vegetable,imported,88.03,inorganic
197,Asparagus,vegetable,imported,10.92,organic
198,Green Bean,vegetable,local,27.88,organic
199,Jalapeño,vegetable,local,81.23,inorganic
200,Mushroom,vegetable,local,17.91,inorganic
201,Cucumber,vegetable,imported,2.1,organic
202,Cauliflower,vegetable,local,73.89,inorganic
203,Cabbage,vegetable,imported,10.42,organic
204,Asparagus,vegetable,imported,19.05,organic
205,Turnip,vegetable,imported,43.6,inorganic
206,Pea,vegetable,imported,54.31,inorganic
207,Tomato,vegetable,local,33.76,organic
208,Pea,vegetable,local,76.79,organic
209,Turnip,vegetable,local,92.19,organic
210,Asparagus,vegetable,imported,28.48,organic
211,Green Bean,vegetable,local,68.79,organic
212,Cucumber,vegetable,local,70.47,organic
213,Asparagus,vegetable,local,8.59,organic
214,Radish,vegetable,local,87.15,organic
215,Bell Pepper,vegetable,imported,88.6,inorganic
216,Spinach,vegetable,local,23.21,organic
217,Carrot,vegetable,imported,33.64,organic
218,Celery,vegetable,imported,89.41,organic
219,Arugula,vegetable,local,94.16,organic
220,Artichoke,vegetable,local,39.33,organic
221,Mushroom,vegetable,local,83.08,inorganic
222,Kale,vegetable,local,34.42,organic
223,Bell Pepper,vegetable,imported,51.4,inorganic
224,Kale,vegetable,local,38.77,organic
225,Brussels Sprout,vegetable,imported,39.31,inorganic
226,Cabbage,vegetable,imported,60.93,inorganic
227,Leek,vegetable,local,64.2,inorganic
228,Kale,vegetable,imported,67.37,inorganic
229,Pea,vegetable,imported,72.91,organic
230,Pea,vegetable,local,80.91,organic
231,Kale,vegetable,imported,85.96,inorganic
232,Sweet Potato,vegetable,imported,62.02,inorganic
233,Celery,vegetable,local,0.82,organic
234,Turnip,vegetable,local,54.31,organic
235,Lettuce,vegetable,local,31.2,inorganic
236,Spinach,vegetable,local,53.7,organic
237,Tomato,vegetable,imported,70.54,organic
238,Eggplant,vegetable,imported,97.68,inorganic
239,Cabbage,vegetable,local,21.02,organic
240,Potato,vegetable,local,96.99,inorganic
241,Sweet Potato,vegetable,imported,13.18,inorganic
242,Carrot,vegetable,imported,93.56,organic
243,Radish,vegetable,local,43.2,inorganic
244,Zucchini,vegetable,local,73.34,organic
245,Radish,vegetable,local,74.28,inorganic
246,Artichoke,vegetable,imported,73.5,organic
247,Asparagus,vegetable,imported,56.79,inorganic
248,Celery,vegetable,imported,27.1,organic
249,Zucchini,vegetable,imported,89.14,organic
250,Arugula,vegetable,local,7.11,inorganic
251,Sweet Potato,vegetable,imported,93.56,inorganic
252,Radish,vegetable,imported,69.13,organic
253,Asparagus,vegetable,local,17.12,inorganic
254,Radish,vegetable,local,96.09,organic
255,Artichoke,vegetable,local,86.97,organic
256,Carrot,vegetable,imported,25.98,organic
257,Spinach,vegetable,imported,10.73,organic
258,Asparagus,vegetable,imported,86.18,inorganic
259,Lettuce,vegetable,imported,93.24,organic
260,Mushroom,vegetable,local,82.81,inorganic
261,Artichoke,vegetable,local,48.91,inorganic
262,Artichoke,vegetable,imported,36.65,organic
263,Radish,vegetable,imported,48.22,inorganic
264,Brussels Sprout,vegetable,local,15.85,inorganic
265,Radish,vegetable,imported,49.99,inorganic
266,Eggplant,vegetable,local,70.64,organic
267,Leek,vegetable,imported,43.41,organic
268,Asparagus,vegetable,imported,30.34,organic
269,Celery,vegetable,local,6.03,organic
270,Brussels Sprout,vegetable,imported,98.85,organic
271,Artichoke,vegetable,local,27.14,organic
272,Green Bean,vegetable,imported,25.01,inorganic
273,Celery,vegetable,imported,23.87,inorganic
274,Brussels Sprout,vegetable,imported,84.28,inorganic
275,Celery,vegetable,imported,61.99,inorganic
276,Celery,vegetable,imported,26.18,organic
277,Potato,vegetable,imported,91.71,organic
278,Brussels Sprout,vegetable,imported,8.3,inorganic
279,Lettuce,vegetable,local,93.75,inorganic
280,Turnip,vegetable,imported,73.75,inorganic
281,Sweet Potato,vegetable,imported,75.49,organic
282,Brussels Sprout,vegetable,imported,26.9,organic
283,Kale,vegetable,local,68.24,inorganic
284,Kale,vegetable,imported,27.69,inorganic
285,Spinach,vegetable,local,49.05,inorganic
286,Cabbage,vegetable,local,37.2,organic
287,Arugula,vegetable,local,82.89,inorganic
288,Spinach,vegetable,local,70.85,inorganic
289,Leek,vegetable,imported,42.97,organic
290,Onion,vegetable,local,43.28,organic
291,Spinach,vegetable,local,35.27,inorganic
292,Eggplant,vegetable,local,98.36,inorganic
293,Cucumber,vegetable,imported,65.58,organic
294,Radish,vegetable,imported,48.05,organic
295,Turnip,vegetable,imported,94.71,organic
296,Cabbage,vegetable,local,3.74,inorganic
297,Beet,vegetable,local,52.28,organic
298,Zucchini,vegetable,local,3.69,organic
299,Radish,vegetable,imported,52.56,inorganic
300,Cauliflower,vegetable,imported,6.95,organic
301,Beet,vegetable,imported,63.15,organic
302,Tomato,vegetable,imported,47.35,inorganic
303,Jalapeño,vegetable,imported,38.78,organic
304,Eggplant,vegetable,local,79.96,inorganic
305,Potato,vegetable,imported,7.95,organic
306,Cucumber,vegetable,imported,3.11,organic
307,Kale,vegetable,local,57.59,inorganic
308,Sweet Potato,vegetable,local,52.91,inorganic
309,Kale,vegetable,imported,20.72,inorganic
310,Asparagus,vegetable,imported,98.95,inorganic
311,Leek,vegetable,imported,59.5,organic
312,Potato,vegetable,imported,65.36,organic
313,Asparagus,vegetable,local,64.48,inorganic
314,Zucchini,vegetable,imported,89.75,organic
315,Broccoli,vegetable,local,4.42,organic
316,Zucchini,vegetable,imported,78.54,inorganic
317,Radish,vegetable,local,81.99,organic
318,Broccoli,vegetable,imported,65.3,inorganic
319,Cabbage,vegetable,local,36.71,inorganic
320,Spinach,vegetable,local,42.18,inorganic
321,Garlic,vegetable,local,66.61,inorganic
322,Jalapeño,vegetable,local,8.58,organic
323,Cauliflower,vegetable,imported,11.2,inorganic
324,Potato,vegetable,imported,98.03,organic
325,Garlic,vegetable,imported,56.0,organic
326,Pea,vegetable,imported,59.68,organic
327,Beet,vegetable,local,80.79,organic
328,Radish,vegetable,local,17.52,inorganic
329,Bell Pepper,vegetable,imported,31.22,organic
330,Eggplant,vegetable,imported,32.98,inorganic
331,Artichoke,vegetable,imported,45.51,organic
332,Garlic,vegetable,local,47.26,inorganic
333,Sweet Potato,vegetable,imported,14.94,organic
334,Tomato,vegetable,local,75.23,organic
335,Parmesan,dairy,imported,68.87,organic
336,Greek Yogurt,dairy,local,33.94,inorganic
337,Heavy Cream,dairy,imported,98.73,organic
338,Heavy Cream,dairy,imported,94.74,organic
339,Heavy Cream,dairy,local,35.75,inorganic
340,Greek Yogurt,dairy,local,67.18,organic
341,Provolone,dairy,imported,58.56,organic
342,Swiss,dairy,imported,32.83,inorganic
343,Ice Cream,dairy,local,46.31,inorganic
344,Brie,dairy,imported,7.14,organic
345,Heavy Cream,dairy,local,23.11,inorganic
346,Provolone,dairy,imported,71.8,organic
347,Mozzarella,dairy,local,90.09,inorganic
348,Provolone,dairy,imported,92.59,inorganic
349,Cheddar,dairy,imported,59.79,inorganic
350,Provolone,dairy,imported,20.46,inorganic
351,Swiss,dairy,local,64.85,inorganic
352,Sour Cream,dairy,local,12.73,inorganic
353,Heavy Cream,dairy,local,80.99,inorganic
354,Feta,dairy,imported,43.06,inorganic
355,Yogurt,dairy,local,59.17,organic
356,Eggs,dairy,imported,34.66,inorganic
357,Brie,dairy,imported,87.75,inorganic
358,Yogurt,dairy,local,35.59,organic
359,Parmesan,dairy,local,59.51,organic
360,Sour Cream,dairy,local,5.42,inorganic
361,Whipped Cream,dairy,imported,22.1,inorganic
362,Greek Yogurt,dairy,imported,81.71,inorganic
363,Heavy Cream,dairy,local,96.97,inorganic
364,Cheddar,dairy,local,36.47,organic
365,Cream Cheese,dairy,imported,43.87,organic
366,Ice Cream,dairy,local,17.89,inorganic
367,Goat,dairy,imported,58.2,inorganic
368,Whipped Cream,dairy,imported,36.37,inorganic
369,Blue,dairy,local,0.99,inorganic
370,Greek Yogurt,dairy,local,75.12,inorganic
371,Greek Yogurt,dairy,imported,68.95,inorganic
372,Ricotta,dairy,local,6.74,organic
373,Blue,dairy,local,31.08,organic
374,Heavy Cream,dairy,imported,95.86,inorganic
375,Greek Yogurt,dairy,local,13.29,organic
376,Cheddar,dairy,local,13.17,organic
377,Brie,dairy,local,19.83,organic
378,Eggs,dairy,local,47.04,organic
379,Mozzarella,dairy,imported,52.0,inorganic
380,Cream Cheese,dairy,imported,17.6,organic
381,Milk,dairy,local,15.61,inorganic
382,Heavy Cream,dairy,imported,0.33,inorganic
383,Butter,dairy,imported,44.69,organic
384,Sour Cream,dairy,imported,2.05,organic
385,Whipped Cream,dairy,imported,4.56,inorganic
386,Provolone,dairy,imported,29.32,inorganic
387,Goat,dairy,imported,25.99,inorganic
388,Heavy Cream,dairy,local,71.19,organic
389,Cream Cheese,dairy,imported,70.22,inorganic
390,Heavy Cream,dairy,imported,66.42,organic
391,Brie,dairy,local,33.23,organic
392,Feta,dairy,local,3.35,organic
393,Cheddar,dairy,imported,51.7,organic
394,Ice Cream,dairy,local,81.98,organic
395,Swiss,dairy,imported,15.04,inorganic
396,Butter,dairy,imported,5.66,inorganic
397,Swiss,dairy,local,14.45,inorganic
398,Brie,dairy,local,91.49,inorganic
399,Provolone,dairy,imported,26.11,organic
400,Ricotta,dairy,local,86.67,organic
401,Ricotta,dairy,imported,86.73,inorganic
402,Goat,dairy,imported,39.3,inorganic
403,Swiss,dairy,local,7.63,inorganic
404,Greek Yogurt,dairy,local,25.24,inorganic
405,Butter,dairy,local,50.8,inorganic
406,Cream Cheese,dairy,imported,93.74,organic
407,Brie,dairy,imported,22.97,organic
408,Provolone,dairy,imported,11.03,inorganic
409,Heavy Cream,dairy,local,30.15,inorganic
410,Cheddar,dairy,imported,29.78,inorganic
411,Cream Cheese,dairy,local,77.42,organic
412,Ricotta,dairy,local,42.32,organic
413,Yogurt,dairy,local,86.38,inorganic
414,Milk,dairy,local,67.86,inorganic
415,Brie,dairy,imported,57.31,inorganic
416,Milk,dairy,imported,5.02,organic
417,Yogurt,dairy,imported,20.1,organic
418,Blue,dairy,imported,83.4,organic
419,Cream Cheese,dairy,local,86.98,organic
420,Sour Cream,dairy,imported,59.47,organic
421,Greek Yogurt,dairy,imported,92.75,organic
422,Yogurt,dairy,imported,9.88,organic
423,Brie,dairy,imported,71.37,organic
424,Ricotta,dairy,local,31.64,organic
425,Mozzarella,dairy,imported,42.26,organic
426,Mozzarella,dairy,local,49.81,organic
427,Heavy Cream,dairy,local,83.52,organic
428,Heavy Cream,dairy,local,14.88,inorganic
429,Ice Cream,dairy,local,38.66,organic
430,Ricotta,dairy,local,66.41,organic
431,Cheddar,dairy,local,19.36,inorganic
432,Whipped Cream,dairy,local,67.42,organic
433,Brie,dairy,local,72.32,inorganic
434,Heavy Cream,dairy,imported,58.69,organic
435,Feta,dairy,local,4.65,organic
436,Swiss,dairy,local,68.51,inorganic
437,Cheddar,dairy,local,4.95,organic
438,Eggs,dairy,local,53.51,inorganic
439,Butter,dairy,imported,16.57,organic
440,Heavy Cream,dairy,local,78.09,organic
441,Whipped Cream,dairy,imported,23.5,organic
442,Brie,dairy,imported,30.82,inorganic
443,Goat,dairy,local,37.74,organic
444,Greek Yogurt,dairy,imported,52.7,inorganic
445,Parmesan,dairy,imported,38.35,organic
446,Parmesan,dairy,local,37.81,inorganic
447,Brie,dairy,local,46.45,inorganic
448,Greek Yogurt,dairy,local,26.65,inorganic
449,Yogurt,dairy,imported,40.72,organic
450,Greek Yogurt,dairy,imported,65.77,organic
451,Brie,dairy,imported,84.99,inorganic
452,Sour Cream,dairy,local,51.44,inorganic
453,Yogurt,dairy,local,36.33,inorganic
454,Heavy Cream,dairy,local,81.42,organic
455,Ricotta,dairy,local,97.37,inorganic
456,Ice Cream,dairy,local,38.16,organic
457,Cheddar,dairy,local,16.69,organic
458,Butter,dairy,imported,74.13,inorganic
459,Whipped Cream,dairy,imported,5.83,organic
460,Provolone,dairy,imported,49.07,inorganic
461,Mozzarella,dairy,imported,70.45,organic
462,Brie,dairy,imported,55.75,organic
463,Ricotta,dairy,imported,14.52,inorganic
464,Swiss,dairy,local,73.08,inorganic
465,Milk,dairy,imported,1.49,inorganic
466,Feta,dairy,local,28.74,organic
467,Heavy Cream,dairy,local,2.16,organic
468,Provolone,dairy,local,92.56,organic
469,Swiss,dairy,local,34.52,inorganic
470,Cream Cheese,dairy,imported,30.3,inorganic
471,Brie,dairy,imported,39.48,organic
472,Yogurt,dairy,local,5.83,organic
473,Milk,dairy,imported,4.27,organic
474,Cream Cheese,dairy,imported,10.36,organic
475,Cheddar,dairy,local,88.15,inorganic
476,Ricotta,dairy,imported,93.87,inorganic
477,Ricotta,dairy,local,65.55,inorganic
478,Heavy Cream,dairy,local,42.34,inorganic
479,Ice Cream,dairy,imported,18.45,inorganic
480,Cheddar,dairy,imported,6.08,organic
481,Cheddar,dairy,local,52.69,organic
482,Greek Yogurt,dairy,imported,89.18,organic
483,Provolone,dairy,imported,5.02,inorganic
484,Feta,dairy,imported,66.41,inorganic
485,Mozzarella,dairy,local,87.55,inorganic
486,Eggs,dairy,local,10.64,inorganic
487,Cream Cheese,dairy,local,45.53,inorganic
488,Butter,dairy,imported,9.23,organic
489,Swiss,dairy,imported,20.11,inorganic
490,Cream Cheese,dairy,local,64.41,inorganic
491,Yogurt,dairy,imported,99.1,inorganic
492,Cream Cheese,dairy,imported,7.2,inorganic
493,Mozzarella,dairy,local,6.86,inorganic
494,Eggs,dairy,local,90.6,inorganic
495,Ice Cream,dairy,local,59.4,organic
496,Goat,dairy,local,35.81,inorganic
497,Ricotta,dairy,imported,6.76,organic
498,Parmesan,dairy,local,56.5,inorganic
499,Eggs,dairy,local,11.81,organic
500,Mozzarella,dairy,local,69.96,organic
501,Eggs,dairy,imported,4.18,organic
502,Veal,meat,imported,17.32,inorganic
503,Sausage,meat,local,40.32,organic
504,Duck,meat,imported,83.03,inorganic
505,Duck,meat,imported,50.34,inorganic
506,Rabbit,meat,local,70.8,organic
507,Lamb,meat,imported,1.57,organic
508,Pork,meat,local,3.5,organic
509,Bacon,meat,imported,37.92,organic
510,Salami,meat,local,16.97,inorganic
511,Ham,meat,local,98.12,inorganic
512,Venison,meat,imported,49.22,organic
513,Turkey,meat,local,9.88,inorganic
514,Pork,meat,local,25.78,organic
515,Veal,meat,imported,28.51,organic
516,Rabbit,meat,local,52.59,inorganic
517,Veal,meat,imported,15.99,inorganic
518,Rabbit,meat,local,73.08,inorganic
519,Pork,meat,imported,27.3,organic
520,Rabbit,meat,local,11.17,inorganic
521,Goat,meat,local,11.83,organic
522,Ham,meat,imported,85.4,inorganic
523,Rabbit,meat,local,22.43,organic
524,Bacon,meat,local,3.84,inorganic
525,Bacon,meat,imported,31.39,inorganic
526,Sausage,meat,imported,59.93,organic
527,Rabbit,meat,local,59.56,inorganic
528,Lamb,meat,local,78.61,organic
529,Mutton,meat,local,29.01,inorganic
530,Turkey,meat,local,46.32,inorganic
531,Lamb,meat,imported,86.85,organic
532,Lamb,meat,imported,8.28,organic
533,Mutton,meat,local,31.49,inorganic
534,Bacon,meat,local,91.64,organic
535,Bacon,meat,imported,17.76,inorganic
536,Mutton,meat,local,75.48,inorganic
537,Goat,meat,local,22.5,inorganic
538,Veal,meat,imported,27.12,inorganic
539,Duck,meat,imported,53.03,organic
540,Bacon,meat,imported,23.47,organic
541,Duck,meat,imported,83.22,inorganic
542,Ham,meat,local,52.32,organic
543,Mutton,meat,local,47.0,organic
544,Pork,meat,local,47.06,organic
545,Turkey,meat,imported,82.21,inorganic
546,Bacon,meat,imported,1.17,organic
547,Beef,meat,imported,12.29,inorganic
548,Lamb,meat,imported,19.74,organic
549,Salami,meat,local,84.34,inorganic
550,Venison,meat,imported,12.29,inorganic
551,Goat,meat,imported,89.76,organic
552,Sausage,meat,local,1.84,inorganic
553,Salami,meat,local,14.07,organic
554,Sausage,meat,imported,93.1,inorganic
555,Bison,meat,imported,35.11,organic
556,Bison,meat,imported,86.65,inorganic
557,Salami,meat,imported,1.52,inorganic
558,Mutton,meat,local,70.79,organic
559,Pork,meat,imported,79.66,inorganic
560,Salami,meat,imported,39.32,inorganic
561,Sausage,meat,imported,27.58,organic
562,Bacon,meat,imported,7.25,organic
563,Rabbit,meat,local,76.88,organic
564,Salami,meat,imported,82.2,organic
565,Lamb,meat,local,95.88,inorganic
566,Bison,meat,local,68.69,inorganic
567,Salami,meat,local,34.05,inorganic
568,Bacon,meat,local,30.41,inorganic
569,Salami,meat,imported,49.09,inorganic
570,Bacon,meat,imported,13.93,organic
571,Veal,meat,local,39.71,inorganic
572,Lamb,meat,local,43.22,organic
573,Sausage,meat,local,74.64,organic
574,Venison,meat,imported,11.47,organic
575,Duck,meat,local,27.97,inorganic
576,Turkey,meat,imported,82.98,inorganic
577,Turkey,meat,imported,36.56,inorganic
578,Bison,meat,local,40.14,inorganic
579,Beef,meat,local,91.02,inorganic
580,Turkey,meat,local,23.52,organic
581,Chicken,meat,local,81.17,inorganic
582,Veal,meat,local,55.42,inorganic
583,Mutton,meat,imported,14.44,organic
584,Venison,meat,imported,20.74,organic
585,Veal,meat,imported,80.83,inorganic
586,Beef,meat,imported,77.76,inorganic
587,Pork,meat,local,1.21,inorganic
588,Pork,meat,imported,34.22,inorganic
589,Turkey,meat,imported,72.39,organic
590,Ham,meat,imported,72.3,inorganic
591,Pork,meat,imported,47.11,organic
592,Pork,meat,local,43.67,organic
593,Rabbit,meat,imported,69.5,organic
594,Goat,meat,imported,27.92,inorganic
595,Chicken,meat,local,80.25,inorganic
596,Pork,meat,imported,62.1,organic
597,Pork,meat,imported,65.01,inorganic
598,Salami,meat,imported,7.06,organic
599,Turkey,meat,imported,99.84,organic
600,Bison,meat,local,25.67,organic
601,Veal,meat,imported,29.92,organic
602,Salami,meat,local,24.39,organic
603,Bacon,meat,imported,30.55,inorganic
604,Pork,meat,local,73.82,inorganic
605,Pork,meat,local,67.86,inorganic
606,Rabbit,meat,imported,21.98,organic
607,Chicken,meat,local,82.2,inorganic
608,Ham,meat,imported,73.03,organic
609,Bacon,meat,local,14.82,inorganic
610,Duck,meat,local,43.48,inorganic
611,Venison,meat,imported,89.15,inorganic
612,Venison,meat,imported,9.8,organic
613,Bison,meat,local,95.25,organic
614,Bison,meat,imported,61.3,inorganic
615,Beef,meat,imported,56.56,organic
616,Turkey,meat,imported,5.7,organic
617,Beef,meat,imported,46.5,organic
618,Pork,meat,imported,5.76,inorganic
619,Sausage,meat,imported,65.5,inorganic
620,Lamb,meat,imported,30.97,organic
621,Chicken,meat,local,99.72,inorganic
622,Bison,meat,local,5.16,organic
623,Goat,meat,local,72.55,organic
624,Bacon,meat,local,18.62,inorganic
625,Bacon,meat,imported,48.71,organic
626,Bison,meat,imported,81.72,inorganic
627,Rabbit,meat,imported,7.83,inorganic
628,Goat,meat,imported,89.04,inorganic
629,Bacon,meat,imported,0.11,inorganic
630,Beef,meat,local,45.24,inorganic
631,Ham,meat,imported,60.27,organic
632,Lamb,meat,imported,93.87,organic
633,Beef,meat,imported,68.89,organic
634,Bison,meat,local,8.25,organic
635,Chicken,meat,local,40.61,inorganic
